                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1868,                 1.0742,                 1.2722,                0.58091,                0.50148,                0.53121,                0.34379,                 1.2556,                 1.1487,                 1.3725,             0.00036978,             0.00036978,             0.00036978
                     35,                 1.1896,                 1.0796,                 1.2762,                0.61426,                0.47607,                0.53579,                0.35414,                  1.254,                 1.1284,                  1.365,             0.00036504,             0.00036504,             0.00036504
                     36,                 1.1874,                 1.0749,                 1.2667,                0.57436,                0.53476,                0.59479,                0.39071,                 1.2334,                 1.0774,                 1.3614,             0.00036031,             0.00036031,             0.00036031
                     37,                 1.1787,                 1.0673,                 1.2671,                0.73229,                0.48968,                0.59284,                0.37906,                 1.2757,                 1.1006,                 1.3826,             0.00035558,             0.00035558,             0.00035558
                     38,                 1.1736,                   1.05,                 1.2571,                0.63763,                0.55141,                0.59077,                 0.3791,                 1.2496,                 1.0637,                 1.3667,             0.00035084,             0.00035084,             0.00035084
                     39,                 1.1587,                  1.038,                 1.2513,                0.62722,                0.60771,                0.63636,                0.40493,                 1.2447,                 1.0465,                 1.3444,             0.00034611,             0.00034611,             0.00034611
                     40,                 1.1611,                 1.0276,                 1.2573,                0.65377,                0.52811,                0.58568,                0.38066,                  1.249,                 1.1066,                 1.3655,             0.00034137,             0.00034137,             0.00034137
                     41,                  1.143,                0.99186,                 1.2472,                0.74906,                0.51439,                0.60939,                0.39591,                 1.2299,                  1.099,                  1.368,             0.00033664,             0.00033664,             0.00033664
                     42,                 1.1641,                 1.0142,                 1.2588,                0.58687,                0.59944,                0.62555,                0.39674,                 1.2307,                 1.0603,                  1.355,             0.00033191,             0.00033191,             0.00033191
                     43,                 1.1508,                0.99136,                 1.2389,                0.66407,                0.57914,                0.61843,                 0.3964,                 1.2327,                 1.0323,                 1.3412,             0.00032717,             0.00032717,             0.00032717
